Last MAJ : 05/06/2018 11:41:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Risque Qualif ELEC;Risque Qualif CPST;Risque Qualif ASSEMBLY;Risque Qualif RAD;Maturité technologique (détection fin de vie);Monosource;(Techno) d'origine US ?;Besoin spécifique ETCA               ;OQD;OTD;Risque de tri (y compris RadLat) ;Risque Société (taille, santé financière, stratégie);Tenue en radiation garantie spatial;Criticité Globale;Criticité Opérationnelle;Article dépassant le seuil;;SEUIL de Criticité ;Criticité Handling & Storage;Remède : plan d'actions;Commentaire ICS pour PLR;JUSTIFICATION SI MAINTIEN DU CHOIX;;;;;;;;;;;PACL;;;;;;;;;;;;;;;;
3E_Part;Version 3E;Description;Family Code;Group Code;Grade;Package;industrial price (site);Maturity;PLC status (site);PLC Status Type;PLC Comments;PPL;Export IS;NS Category;Criticality;Source;Version;Statut Source;Manufacturer ;Manufacturer Location Country;Cage code;Generic Procurement Specficiation(issue/revision);detailled Procurement Specification (issue/revision);ESD (Code  + Libelle);MSL (Code + Libelle);Qualite;LEAD TIME;;Space Qualified Status;TID RADLAT required;TNID RADLAT required;Nbr 3E;"1/3/5
10503122;4;IC OP AMP RH1498 FP10 SN;08;50;Grade 1;FP-10;384,93;valid for BOM production;ACC;;;NPPL;EAR99;;3;10585930;00;ACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;SMD-5962-13250;CLASS 2 - 2000 - 3999V;NA - Not applicable;CLASS V;165;1058593000;;;;0;1;1;1;1;1;5;2;1;1;1;1;1;;10;10;0;;déjà ITAR;1;A compléter;[S.VDM ] OK;;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;;
10503515;6;CONN KNB 041 22 20 124 S;02;02;Grade 1;NA;162,49;valid for BOM production;ACC;;;PPL;NCL;;NA;10503518;02;OBSOLETE;HYPERTAC SA;FRA;F0324;ESCC-3401;10505115 00;NON SENSITIVE - ?15999V;7 - Unlimited & <= 30°C/85% RH (internal recommendation);SCC B;130;1050351802;;;;1;1;1;1;1;1;5;1;1;1;1;1;1;;5;5;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10503515;6;CONN KNB 041 22 20 124 S;02;02;Grade 1;NA;162,49;valid for BOM production;ACC;;;PPL;NCL;;NA;10513841;02;ACTIVE;HYPERTAC SA;FRA;F0324;;ESCC-3401/016;NON SENSITIVE - ?15999V;7 - Unlimited & <= 30°C/85% RH (internal recommendation);SCC B;130;1051384102;;;;0;1;1;1;1;1;5;1;1;1;1;1;1;;5;5;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10503600;4;IC VOLT REF RH1021-5 FP10;08;52;Grade 1;FP-10;426,36;valid for BOM production;ACC;;;NPPL;EAR99;;3;10503603;03;INACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;LTC_05-08-5016 P;CLASS 1C - 1000 - 1999V;NA - Not applicable;EQ CLASS S;165;1050360303;;;;1;1;1;1;1;1;3;2;1;1;3;1;1;;18;18;18;;"déjà ITAR ; 
on ne peut plus acheter chez LT en direct
alternative STM en cours de validation";1;A compléter;[S.VDM ] OK mais si possible utiliser la nouvelle ref ISL71090 (article 10541251);;;;;1;;;1;;;;;;1;1;;1;;;;;;;1;1;1;;
10503600;4;IC VOLT REF RH1021-5 FP10;08;52;Grade 1;FP-10;426,36;valid for BOM production;ACC;;;NPPL;EAR99;;3;10586951;00;ACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;SMD-5962-88762;CLASS 1C - 1000 - 1999V;NA - Not applicable;CLASS V;165;1058695100;;;;0;1;1;1;1;1;3;2;1;1;2;1;1;;12;12;12;;"déjà ITAR ; 
on ne peut plus acheter chez LT en direct
alternative STM en cours de validation";1;A compléter;[S.VDM ] OK mais si possible utiliser la nouvelle ref ISL71090 (article 10541251);;;;;1;;;1;;;;;;1;1;;1;;;;;;;1;1;1;;
10503614;4;IC VOLT REF RH1021CM-10;08;52;Grade 1;FP-10;544,22;valid for BOM production;ACC;;;NPPL;EAR99;;3;10503617;04;INACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;LTC_05-08-5018 P;CLASS 1C - 1000 - 1999V;NA - Not applicable;EQ CLASS S;165;1050361704;;;;1;1;1;1;1;1;3;2;1;1;3;1;1;;18;18;18;;"déjà ITAR ; alternative Intersil en cours";1;A compléter;[S.VDM ] Si nouveau design, partir sur la nouvelle ref ISL71090 d'Intersil (article à codifier);;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;;
10503614;4;IC VOLT REF RH1021CM-10;08;52;Grade 1;FP-10;544,22;valid for BOM production;ACC;;;NPPL;EAR99;;3;10585934;01;ACTIVE;LINEAR TECHNOLOGY;USA;;MIL-PRF-38535;SMD-5962-88600;CLASS 1C - 1000 - 1999V;NA - Not applicable;CLASS V;165;1058593401;;;;0;1;1;1;1;1;3;2;1;1;3;1;1;;18;18;18;;"déjà ITAR ; alternative Intersil en cours";1;A compléter;[S.VDM ] Si nouveau design, partir sur la nouvelle ref ISL71090 d'Intersil (article à codifier);;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;;
10504122;5;CONN MTB1 8S FR113;02;07;Grade 1;NA;117,78;valid for BOM production;LIM;ASSY;"Not foolproof ; prefer connector with integrated keying";NPPL;NCL;;NA;10504125;05;ACTIVE;C&K COMPONENTS;FRA;F3132;ESCC-3401;ESCC-3401/031;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;105;1050412505;;;;1;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10504126;5;CONN MTB1 4S FR113;02;07;Grade 1;NA;83,28;valid for BOM production;LIM;ASSY;"Not foolproof ; prefer connector with integrated keying";NPPL;NCL;;NA;10504129;06;ACTIVE;C&K COMPONENTS;FRA;F3132;ESCC-3401;ESCC-3401/031;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;130;1050412906;;;;1;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10505468;4;SAV KNB0174491944 17CNT;02;02;EM grade;NA;372,45;valid for BOM production;ACC;;;NPPL;NCL;;NA;10505471;06;ACTIVE;HYPERTAC SA;FRA;F0324;ESCC-3401;Data_Sheet_Manufacturer;NON SENSITIVE - ?15999V;NA - Not applicable;SPACE LEV;105;1050547106;;;;1;1;1;1;1;1;5;1;1;1;1;1;1;;5;5;0;;"""NA""";;"""NA""";[JDL] : OK Saver;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
10506289;6;PM94S 22µF 10% 63V;01;05;Grade 1;PM94S415-2;107,84;valid for BOM production;ACC;;;PPL;NCL;;NA;10506290;05;ACTIVE;EXXELIA TECHNOLOGIES;FRA;¿;ESCC-3006;ESCC-3006/024;NON SENSITIVE - ?15999V;2a - 4 weeks & <= 30°C/60% RH (J-STD-20 classified);SCC C;175;1050629004;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;suivi mensuel de backlog, par communication de la part du fabricant;;AI3 CAPA PLAST BT EFD;PM948S est ESA QPL depuis mars 2016;;;;;1;;;1;;;;;;;1;;1;;;;;;;1;;;;
10506853;2;CONN DSUB 9P F179;02;03;Grade 1;NA;45,25;valid for BOM production;ACC;;;PPL;NCL;;NA;10506855;05;ACTIVE;C&K COMPONENTS;FRA;F3132;ESCC-3401;ESCC-3401/001;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;130;1050685505;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;1
10507266;3;CONN MTB1 16P FR116;02;03;Grade 1;NA;94,26;valid for BOM production;LIM;ASSY;"Not foolproof ; prefer connector with integrated keying";NPPL;NCL;;NA;10507268;05;ACTIVE;C&K COMPONENTS;FRA;F3132;ESCC-3401;ESCC-3401/031;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;95;1050726805;;;;1;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10507275;3;CONN MTB1 16S FR116;02;03;Grade 1;NA;95,12;valid for BOM production;LIM;ASSY;"Not foolproof ; prefer connector with integrated keying";NPPL;NCL;;NA;10507277;04;ACTIVE;C&K COMPONENTS;FRA;F3132;ESCC-3401;ESCC-3401/031;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;95;1050727704;;;;1;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10507297;3;CONN KNB 041 13 20 110P;02;03;Grade 1;NA;156,19;valid for BOM production;ACC;;;PPL;NCL;;NA;10507299;04;ACTIVE;HYPERTAC SA;FRA;F0324;ESCC-3401;ESCC-3401/016;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;95;1050729904;;;;1;1;1;1;1;1;5;1;1;1;1;1;1;;5;5;0;;"""NA""";;"""NA""";[JDL] : OK Qualifié;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;
10507336;4;1N4109 DIE 15V;04;03;Grade 1;NA;0;valid for BOM production;ACC;;;NPPL;EAR99;;4;10507339;06;ACTIVE;SENSITRON SEMICONDUCTOR;USA;13409;MIL-PRF-19500;MIL-PRF-19500/435;NON SENSITIVE - ?15999V;NA - Not applicable;SPACE LEV;145;1050733906;;;;1;1;1;1;1;1;1;2;1;1;1;1;1;;2;2;0;;;;;NP: OK;;;;;1;;;1;;;;;;;1;1;;1;;;;1;1;1;;;;
10507402;4;SPT1198S 1nF 5% 250V;01;01;Grade 1;SPT1198S-2;36,85;valid for BOM production;ACC;;;NPPL;NCL;;NA;10507405;04;ACTIVE;EXXELIA TECHNOLOGIES;FRA;¿;ESCC-3001;753-09-390 A;NON SENSITIVE - ?15999V;NA - Not applicable;EQ SCC C;225;1050740502;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;suivi mensuel de backlog, par communication de la part du fabricant;;AI1 CAPA CERAM HT EFD;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;
10507406;5;SPT1198S 2.2nF 5% 250V;01;01;Grade 1;SPT1198S-2;37,65;valid for BOM production;ACC;;;NPPL;NCL;;NA;10507409;04;ACTIVE;EXXELIA TECHNOLOGIES;FRA;;ESCC-3001;753-09-390 A;NON SENSITIVE - ?15999V;NA - Not applicable;EQ SCC C;225;1050740902;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;suivi mensuel de backlog, par communication de la part du fabricant;;AI1 CAPA CERAM HT EFD;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;
10507415;3;PM90S 3.3uF 400V 10%;01;05;Grade 1+;PM90SD-4;77,86;valid for BOM production;ACC;;;NPPL;NCL;;NA;10507418;05;ACTIVE;EXXELIA TECHNOLOGIES;FRA;¿;ESCC-3006;ESCC-3006/020;NON SENSITIVE - ?15999V;7 - Unlimited & <= 30°C/85% RH (internal recommendation);EQ SCC C;265;1050741803;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;suivi mensuel de backlog, par communication de la part du fabricant;;AI3 CAPA PLAST BT EFD;OK;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;1
10507518;3;PM90S 3.9uF 630V 10%;01;05;Grade 1+;PM90SG-4;96,99;valid for BOM production;ACC;;;NPPL;NCL;;NA;10507521;05;ACTIVE;EXXELIA TECHNOLOGIES;FRA;¿;ESCC-3006;ESCC-3006/020;NON SENSITIVE - ?15999V;NA - Not applicable;EQ SCC C;245;1050752103;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;suivi mensuel de backlog, par communication de la part du fabricant;;AI3 CAPA PLAST BT EFD;OK;;;;;1;;;1;;;;;;;1;;;;;;;;;1;;;;1
10508178;3;SPT1199S 47nF 10% 500V;01;01;Grade 1;SPT1198S-2;43,12;valid for BOM production;ACC;;;NPPL;NCL;;NA;10508181;06;ACTIVE;EXXELIA TECHNOLOGIES;FRA;¿;ESCC-3001;754-09-390 B;NON SENSITIVE - ?15999V;NA - Not applicable;EQ ESCC;225;1050818104;;;;1;1;1;1;1;1;5;1;1;1;5;1;1;;25;25;25;;"package spécifique au report CMS
suivi mensuel de backlog, par communication de la part du fabricant";;AI1 CAPA CERAM HT EFD;;;;;;1;;;1;;;;1;;;1;;1;;;;;;;1;;;;
